LOINC,MAP_TO,COMMENT
12666-4,27870-5,
12667-2,27868-9,
12668-0,27880-4,
12669-8,55612-6,
12670-6,27869-7,
12671-4,27864-8,
1267-4,1261-7,
12685-4,27888-7,
12685-4,47767-9,
12686-2,27889-5,
12686-2,47918-8,
12687-0,27881-2,
12687-0,47923-8,
12688-8,27890-3,
12688-8,47927-9,
12689-6,27328-4,
12689-6,47929-5,
12690-4,47930-3,
12690-4,49893-1,
12691-2,27829-1,
12691-2,47931-1,
12692-0,47932-9,
12692-0,49894-9,
12693-8,47755-4,
12693-8,49895-6,
12696-1,58948-1,
12697-9,27850-7,
12698-7,14142-4,
12699-5,14143-2,
12700-1,56499-7,
12701-9,27369-8,
12715-9,2436-4,
1271-6,14992-2,
12721-7,11055-1,
1272-4,14993-0,
1273-2,14994-8,
12732-4,41760-0,
1274-0,14992-2,
1275-7,14993-0,
1276-5,14994-8,
12777-9,38176-4,
12778-7,38178-0,
12779-5,5705-9,
12800-9,17504-2,Ordinal
12800-9,6930-2,MCnc/Qn
1280-7,1277-3,
12808-2,3113-8,
12809-0,2137-8,
1281-5,1278-1,
1282-3,1279-9,
12950-2,12228-3,
12952-8,3050-2,
12952-8,74793-1,
12952-8,74794-9,
12952-8,74795-6,
1295-5,88050-0,P2 phenotype [Presence] on Red Blood Cells from Blood product unit
1296-3,88051-8,P2 phenotype [Presence] on Red Blood Cells from donor
1297-1,88049-2,P2 phenotype [Presence] on Red Blood Cells
12980-9,53612-8,
13017-9,11100-5,
13049-2,6012-9,
13051-8,5892-5,
13055-9,66483-9,
1306-0,975-3,
13065-8,5379-3,
1307-8,973-8,
1308-6,974-6,
13089-8,44736-7,Ordinal
13089-8,44737-5,ACnc/Qn
13090-6,31226-4,ACnc/Qn
13090-6,44738-3,Ordinal
13093-0,31502-8,ACnc/Qn
13093-0,44750-8,Ordinal
1309-4,975-3,
13094-8,31498-9,ACnc/Qn
13094-8,44749-0,Ordinal
13095-5,31498-9,ACnc/Qn
13095-5,44749-0,Ordinal
13096-3,21411-4,
13096-3,31522-6,
13097-1,26975-3,
13097-1,31563-0,
13098-9,31669-5,
13098-9,31670-3,
