PATH_TO_ROOT,SEQUENCE,IMMEDIATE_PARENT,CODE,CODE_TEXT
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP443241-7,1,LP443241-7,105925-2,Bacteria Periumbilical Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,48,LP14082-9,LP442073-5,Bacteria | Placenta | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442073-5,1,LP442073-5,617-1,Bacteria Placenta Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442073-5,2,LP442073-5,87941-1,Bacteria Placenta Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,49,LP14082-9,LP373679-2,Bacteria | Pleural fluid | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373679-2,1,LP373679-2,17279-1,Bacteria Plr Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373679-2,2,LP373679-2,87942-9,Bacteria Plr Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373679-2,3,LP373679-2,618-9,Bacteria Plr Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373679-2,4,LP373679-2,41603-2,Bacteria Plr Ql Micro
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,50,LP14082-9,LP443242-5,Bacteria | Pus | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP443242-5,1,LP443242-5,106033-4,Bacteria Pus Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP443242-5,2,LP443242-5,106032-6,Bacteria Pus Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,51,LP14082-9,LP442074-3,Bacteria | Lower respiratory specimen | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442074-3,1,LP442074-3,89643-1,Bacteria Lower resp Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442074-3,2,LP442074-3,89644-9,Bacteria Lower resp Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442074-3,3,LP442074-3,79425-5,Bacteria Lower resp CF Resp Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,52,LP14082-9,LP442075-0,Bacteria | Upper respiratory specimen | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442075-0,1,LP442075-0,91819-3,Bacteria Upper resp Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442075-0,2,LP442075-0,91818-5,Bacteria Upper resp Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,53,LP14082-9,LP442076-8,Bacteria | Semen | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442076-8,1,LP442076-8,106018-5,Bacteria # Smn Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442076-8,2,LP442076-8,13314-0,Bacteria Smn
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442076-8,3,LP442076-8,90279-1,Bacteria Smn Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442076-8,4,LP442076-8,90276-7,Bacteria Smn Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442076-8,5,LP442076-8,53558-3,Bacteria Smn Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,54,LP14082-9,LP442077-6,Bacteria | Sinus | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442077-6,1,LP442077-6,87932-0,Bacteria Sinus Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442077-6,2,LP442077-6,87943-7,Bacteria Sinus Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442077-6,3,LP442077-6,43307-8,Bacteria Sinus Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,55,LP14082-9,LP442078-4,Bacteria | Skin | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442078-4,1,LP442078-4,620-5,Bacteria Skin Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,56,LP14082-9,LP442079-2,Bacteria | Sputum tracheal aspirate | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442079-2,1,LP442079-2,52973-5,Bacteria Sputum trach asp Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,57,LP14082-9,LP442080-0,Bacteria | Sputum | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442080-0,1,LP442080-0,19127-0,Bacteria Spt ARDS Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442080-0,2,LP442080-0,622-1,Bacteria Spt Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442080-0,3,LP442080-0,6460-0,Bacteria Spt Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442080-0,4,LP442080-0,623-9,Bacteria Spt CF Resp Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442080-0,5,LP442080-0,624-7,Bacteria Spt Resp Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442080-0,6,LP442080-0,17893-9,Bacteria Spt Aerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442080-0,7,LP442080-0,17894-7,Bacteria Spt Aerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442080-0,8,LP442080-0,17895-4,Bacteria Spt Aerobe Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442080-0,9,LP442080-0,17896-2,Bacteria Spt Aerobe Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442080-0,10,LP442080-0,17897-0,Bacteria Spt Aerobe Cult org #6
