PATH_TO_ROOT,SEQUENCE,IMMEDIATE_PARENT,CODE,CODE_TEXT
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,72,LP14082-9,LP442089-1,Bacteria | Water | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442089-1,1,LP442089-1,14093-9,Bacteria Wat Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,73,LP14082-9,LP442090-9,Bacteria | Wound | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442090-9,1,LP442090-9,632-0,Bacteria Wnd Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442090-9,2,LP442090-9,633-8,Bacteria Wnd Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442090-9,3,LP442090-9,6462-6,Bacteria Wnd Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,74,LP14082-9,LP442091-7,Bacteria | Wound deep | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442091-7,1,LP442091-7,17909-3,Bacteria Deep Wnd Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442091-7,2,LP442091-7,17925-9,Bacteria Deep Wnd Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442091-7,3,LP442091-7,43407-6,Bacteria Deep Wnd Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442091-7,4,LP442091-7,17910-1,Bacteria Deep Wnd Aerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442091-7,5,LP442091-7,17926-7,Bacteria Deep Wnd Anaerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442091-7,6,LP442091-7,17911-9,Bacteria Deep Wnd Aerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442091-7,7,LP442091-7,17927-5,Bacteria Deep Wnd Anaerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442091-7,8,LP442091-7,17912-7,Bacteria Deep Wnd Aerobe Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442091-7,9,LP442091-7,17913-5,Bacteria Deep Wnd Aerobe Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442091-7,10,LP442091-7,17914-3,Bacteria Deep Wnd Aerobe Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,75,LP14082-9,LP442092-5,Bacteria | Wound shallow | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442092-5,1,LP442092-5,17915-0,Bacteria Shlw Wnd Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442092-5,2,LP442092-5,17916-8,Bacteria Shlw Wnd Aerobe Cult org #2
